text,source
"The article explores ethical issues when AI is used in smart healthcare devices. Unlike traditional medical ethics, AI brings new challenges like transparency (understanding how AI makes decisions), bias (AI's potential unfairness), privacy (protecting patient data), safety (ensuring AI doesn't cause harm), responsibility (who's accountable when AI makes mistakes), justice (fair AI access), and autonomy (respecting patient decisions). To address these, the article suggests integrating ethical considerations throughout AI healthcare product development, testing",ai
"The Montreal AI Ethics Institute's 2nd report, ""The State of AI Ethics,"" updates us on key advancements in AI ethics since mid-2020. It's a concise guide for diverse readers, from AI specialists to policymakers. The report summarizes research and articles, plus expert insights, across eight crucial AI ethics domains: AI's societal impact, bias and fairness, misinformation, human-AI interaction, labor effects, privacy, risks, and future trends. It also features exclusive content by top AI ethics experts from leading universities and research institutes.",ai
"Artificial Intelligence (AI) bias, fueled by its extensive use in decision-making systems, is increasingly evident and problematic, often leading to unfair treatment of individuals based on certain traits. Yet, the connection between bias and discrimination isn't always straightforward. This paper explores the intersection of bias and discrimination in AI, drawing from technical, legal, social, and ethical perspectives. It argues that addressing these issues necessitates strong collaboration across these disciplines.",ai
"This paper emphasizes the significance of biases in artificial intelligence (AI), focusing on two key aspects. Firstly, it suggests incorporating human cognitive biases into AI algorithms to enable effective decision-making in complex, dynamic, and uncertain real-world situations. Secondly, it proposes using filter mechanisms to choose biased training data that reflects socially and ethically desirable traits, aiming for morally upright machine behavior. The paper draws from cognitive science and ethics, presenting seven practical case studies to illustrate these ideas. It serves as an initial step towards actively exploring the concept of biased AI.",ai
"Ethics in Digitalization: As technology spreads, so do ethical dilemmas. Developers, designers, and managers must now consider ethical values while creating digital products. However, the academic landscape is vast, encompassing subfields like big data ethics, machine ethics, and AI ethics. This paper aims to simplify this by introducing two key ethical fields for development team members.",ai
"As AI, especially machine learning, becomes more widespread, so do concerns about its ethical implications. Current laws and regulations aren't enough to protect people, society, and the environment from AI-related harms. This has led to many ethics guidelines and principles. However, there's a big gap between these principles and how AI systems are actually designed. Our previous work explored whether this gap can be bridged.",ai
"Recent AI advancements have sparked intense debate on AI ethics, leading to various guidelines. This paper examines and compares these, identifying common themes and gaps. It provides a comprehensive overview of AI ethics, and assesses how well these ethical principles are applied in AI research, development, and use.",ai
"AI, now ubiquitous in daily life (autonomous cars, healthcare, drones), learns from data via Machine Learning. It makes decisions based on models to achieve specific goals. However, verifying and validating these systems is difficult due to their random nature. Additionally, AI models can have inherent biases like reproducibility bias, selection bias (e.g., race, gender, color), and reporting bias (results not reflecting reality).",ai
"Several key ethics guidelines exist for responsible AI development, but they're often not effectively applied. A shift towards practical AI ethics has occurred, but it still faces challenges. This paper introduces a new approach. It suggests four fundamental AI virtues: justice, honesty, responsibility, and care, which are crucial for ethical AI decision-making. Additionally, it proposes two secondary virtues, prudence and fortitude, to help overcome barriers like limited ethical awareness and hidden psychological biases.",ai
"Machine Learning (ML) ethics is a pressing topic in AI. ML systems' widespread use has sparked close ethical examination. The AI/ML community now acknowledges the need to consider ethics in ML's process and outcomes (Birhane, 2021; Shen et al., 2021). The key debate is: what makes an ML system ethically responsible? This paper explores methods to evaluate ML's ethical implications. It reviews ML techniques and practices through a relational ethics lens.",ai
